Round,Counsel. Rank,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Penalty,Bond Years,Beds (Inst.)
1,168,Tel Govt-NS UNR,OPEN-GEN,Telangana,NIMS Hyderabad,RADIO DIAGNOSIS,72000, 99969,5000000,1,1498
1,169,Tel Govt-NS UNR,OPEN-GEN,Telangana,NIMS Hyderabad,GENERAL MEDICINE,72000, 99969,5000000,1,1498
1,194,Tel Govt-NS LOC,OPEN-FEM,Telangana,NIMS Hyderabad,RADIO DIAGNOSIS,72000, 99969,5000000,1,1498
1,282,Tel Govt-NS LOC,OPEN-GEN,Telangana,NIMS Hyderabad,RADIO DIAGNOSIS,72000, 99969,5000000,1,1498
1,291,Tel Govt-NS LOC,BCB-GEN,Telangana,NIMS Hyderabad,RADIO DIAGNOSIS,72000, 99969,5000000,1,1498
1,297,Tel Govt-NS LOC,OPEN-GEN,Telangana,NIMS Hyderabad,GENERAL MEDICINE,72000, 99969,5000000,1,1498
1,436,Tel Govt-NS LOC,OPEN-FEM,Telangana,NIMS Hyderabad,GENERAL MEDICINE,72000, 99969,5000000,1,1498
1,446,Tel Govt-NS LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,RADIO DIAGNOSIS,10000, 50686,2000000,1,4800
1,469,Tel Govt-NS LOC,OPEN-GEN,Telangana,NIMS Hyderabad,GENERAL MEDICINE,72000, 99969,5000000,1,1498
1,527,Tel Govt-NS LOC,OPEN-FEM,Telangana,Osmania Med Coll Hyderabad,RADIO DIAGNOSIS,10000, 50686,2000000,1,4800
1,633,Tel Govt-NS LOC,OPEN-FEM,Telangana,Gandhi Med Coll Secunderabad,GENERAL MEDICINE,10000, 50686,2000000,1,1200
1,637,Tel Govt-NS LOC,OPEN-GEN,Telangana,Gandhi Med Coll Secunderabad,GENERAL MEDICINE,10000, 50686,2000000,1,1200
1,649,Tel Govt-NS LOC,OPEN-GEN,Telangana,Gandhi Med Coll Secunderabad,GENERAL MEDICINE,10000, 50686,2000000,1,1200
1,685,Tel Govt-NS UNR,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,DERMATOLOGY,10000, 50686,2000000,1,4800
